@relation arousal
            
@attribute Angry numeric
@attribute ConcentrationLevel numeric
@attribute Embarrassment numeric
@attribute Excitement numeric
@attribute Hesitation numeric
@attribute ImaginationActivity numeric
@attribute IntensiveThinking numeric
@attribute Content numeric
@attribute SAF numeric
@attribute Upset numeric
@attribute ExtremeState numeric
@attribute Stress numeric
@attribute Uncertainty numeric
@attribute Energy numeric
@attribute BrainPower numeric
@attribute EmoCogRatio numeric
@attribute MaxAmpVol numeric
@attribute VoiceEnergy numeric
@attribute arousal {-2,-1,0,1,2}

@data
25,0,14,20,15,1,5,30,1,0,30,2,4,50,1644,317,32767,609,2
26,3,0,20,17,0,0,30,2,0,30,0,2,50,1622,382,32767,41,2
0,1,7,22,12,4,3,0,2,0,12,0,2,0,1623,349,32767,51,2
27,0,28,21,15,0,6,30,0,0,30,0,1,50,1768,344,32767,389,2
29,2,14,25,10,1,1,30,2,0,30,0,1,50,1815,415,32767,215,2
0,0,0,25,8,0,3,0,0,0,18,0,1,0,1756,376,32767,333,2
26,0,21,20,13,0,4,30,1,0,30,1,2,50,1729,355,32767,194,2
0,11,0,19,17,0,5,0,0,0,10,0,1,0,1615,328,32767,72,2
26,0,7,20,19,7,6,30,2,0,30,0,1,50,1671,330,32767,456,2
24,0,0,16,15,0,2,0,2,0,30,0,1,50,1431,326,32767,164,2
25,0,0,18,17,0,5,30,0,0,30,0,2,50,1607,322,32767,61,2
26,0,21,19,21,2,2,30,2,0,30,0,1,50,1607,366,32767,87,2
22,0,0,21,15,0,0,30,0,0,16,2,5,44,1762,413,8448,77,2
27,0,28,22,19,2,3,30,0,0,30,0,2,50,1821,389,32767,389,2
28,3,7,22,13,0,0,30,0,0,30,0,1,50,1699,422,32767,174,2
0,0,28,19,15,3,6,0,1,0,13,1,2,0,1653,322,32767,302,2
28,0,21,21,13,0,0,0,0,0,30,0,0,50,1653,411,32767,31,2
30,1,7,29,15,0,1,30,0,0,30,0,2,50,1707,383,32767,56,2
27,0,14,21,17,6,12,30,0,0,30,1,1,50,1744,296,32767,246,2
28,4,0,22,11,0,2,30,0,0,30,0,1,50,1787,394,32767,563,2
26,5,0,20,10,0,1,30,0,0,30,0,1,50,1689,396,32767,92,2
28,0,14,24,15,0,1,30,0,0,30,0,1,50,1812,411,32767,138,2
28,0,28,23,12,2,6,30,0,0,30,0,1,50,1746,343,32767,425,2
28,22,0,23,15,3,4,30,5,0,30,1,2,50,1892,389,32767,56,2
