Name,Zcr,Energy,EnergyEntropy,SpecCentro,SpecCentroSpread,SpecEntropy,SpecFlux,SpecRolloff,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,HarmonicRatio,F0,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,CV10,CV11,CV12
alex_disgust.wav,47,5,3,73,103,38,229,6,-37,5,0,1,-0,1,1,0,-0,-0,-0,0,0,1,126,1,3,0,15,2,1,0,2,0,0,5,0,
alex_disgust.wav,31,4,2,58,91,11,209,5,-38,5,1,1,0,1,1,0,-0,-0,-0,0,0,1,115,1,1,1,8,0,2,1,2,0,0,12,0,
alex_disgust.wav,53,4,2,71,86,39,219,8,-37,6,0,0,0,1,1,0,-0,-1,-0,0,0,1,166,1,3,2,6,2,3,1,1,0,0,10,0,
alex_disgust.wav,38,2,2,59,98,18,304,5,-39,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,129,1,2,1,8,1,1,0,2,0,0,9,0,
alex_disgust.wav,55,4,2,77,104,49,239,7,-37,5,-0,0,0,1,1,1,-0,-1,-0,0,0,0,158,1,3,2,6,3,2,1,4,0,0,9,0,
alex_disgust.wav,36,2,2,59,90,16,248,5,-39,5,1,1,0,1,1,0,-0,-1,-0,0,0,0,128,0,2,2,6,2,2,0,1,0,0,12,0,
alex_disgust.wav,47,4,2,73,118,22,241,6,-38,5,1,0,0,1,1,0,0,-0,-0,0,0,1,136,1,2,2,7,1,1,0,2,0,0,9,0,
alex_disgust.wav,41,4,2,64,91,23,245,6,-37,5,1,1,0,1,1,0,-0,-1,-0,0,0,1,153,1,2,1,7,2,2,0,3,0,0,9,0,
alex_disgust.wav,37,2,2,71,122,9,256,5,-39,5,1,0,0,1,1,0,0,-0,-0,0,0,1,121,1,3,1,11,1,1,0,3,0,0,6,0,
alex_disgust.wav,39,3,2,60,84,19,350,6,-38,6,1,0,0,1,1,0,-0,-0,-0,0,0,1,112,1,2,2,8,1,2,1,1,0,0,10,0,
alex_disgust.wav,53,5,2,71,87,40,211,8,-36,6,0,0,-0,1,1,0,-0,-0,-0,0,0,1,128,1,2,2,8,1,3,1,2,1,0,10,0,
alex_disgust.wav,39,3,2,73,118,15,329,5,-39,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,128,1,4,1,12,1,2,0,2,0,0,6,0,
alex_disgust.wav,52,2,2,73,99,44,247,7,-38,5,0,0,0,1,1,0,-0,-1,-0,0,0,0,156,1,3,1,8,3,2,1,2,0,0,9,0,
alex_disgust.wav,38,2,2,62,99,18,301,5,-39,5,1,1,1,1,1,0,-0,-0,-0,0,0,1,127,1,2,2,13,1,2,0,1,0,0,6,0,
alex_disgust.wav,38,3,2,63,98,13,221,5,-38,5,1,0,-0,1,0,0,-0,-0,-0,0,0,1,128,2,6,1,8,1,1,0,3,0,0,9,0,
alex_disgust.wav,34,3,2,60,96,12,227,5,-38,5,1,1,0,1,1,0,-0,-1,-0,0,0,1,125,1,2,1,10,1,2,0,3,0,0,8,0,
alex_disgust.wav,57,4,3,82,110,42,306,8,-37,6,0,-0,-0,1,1,0,-0,-0,-0,0,0,1,157,2,4,2,11,3,2,1,2,0,0,7,0,
alex_disgust.wav,40,4,3,65,104,9,264,5,-38,5,1,1,0,1,1,0,0,-0,-0,0,0,1,129,1,4,1,10,1,1,0,3,0,0,7,0,
alex_disgust.wav,42,4,3,66,100,26,251,6,-38,5,1,1,0,1,1,0,-0,-0,-0,0,0,1,134,1,2,2,11,1,1,0,4,0,0,7,0,
alex_disgust.wav,36,3,2,65,101,21,199,5,-38,5,1,1,0,1,1,0,-0,-0,-0,0,0,1,113,1,2,1,9,1,3,1,1,0,0,10,0,
alex_disgust.wav,36,2,2,61,99,9,280,5,-39,5,1,1,0,1,1,0,0,-0,-0,0,0,1,122,1,2,2,12,0,2,0,2,0,0,8,0,
alex_disgust.wav,43,3,2,67,103,23,305,5,-38,5,1,1,0,1,1,0,-0,-0,-0,0,0,1,142,1,2,2,11,1,1,0,1,0,0,8,0,
alex_disgust.wav,33,2,2,59,93,15,223,5,-39,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,131,0,1,1,9,1,3,0,1,0,0,11,0,
alex_disgust.wav,55,4,2,75,97,44,330,7,-37,5,0,0,0,1,1,0,-0,-0,-0,0,0,1,212,1,2,2,9,1,2,1,4,0,0,6,0,
alex_disgust.wav,42,3,2,64,101,11,274,5,-39,5,1,1,0,1,1,0,0,-0,-0,0,0,1,144,1,2,2,11,0,2,0,2,0,0,6,0,
alex_disgust.wav,35,3,2,60,91,24,204,5,-38,5,0,1,0,1,1,0,-0,-0,-0,0,0,1,114,1,2,1,8,2,2,1,1,0,0,11,0,
alex_disgust.wav,47,4,2,77,113,26,302,6,-38,5,1,0,0,1,1,0,-0,-1,-0,0,0,1,173,1,4,2,9,2,1,1,1,0,0,8,0,
alex_disgust.wav,44,4,2,76,121,19,260,6,-38,5,0,0,0,1,1,0,-0,-0,-0,0,0,0,120,1,3,1,8,1,2,0,4,0,0,8,0,
alex_disgust.wav,39,3,2,63,102,8,325,5,-39,5,1,1,0,1,1,0,-0,-0,-0,0,0,1,120,1,4,1,9,1,2,1,3,0,0,8,0,
alex_disgust.wav,52,5,2,74,104,33,297,7,-37,5,0,0,-0,1,1,0,-0,-0,-0,0,0,1,175,1,3,2,8,1,2,1,2,0,0,10,0,
alex_disgust.wav,32,3,2,58,97,11,252,5,-39,5,1,1,0,1,1,0,-0,-0,-0,0,0,1,125,1,1,1,13,0,1,0,3,0,0,5,0,
alex_disgust.wav,42,4,2,62,95,12,301,5,-38,5,1,0,-0,1,1,0,-0,-0,-0,0,0,1,136,1,4,1,9,1,1,0,3,0,0,8,0,
alex_disgust.wav,34,1,2,63,109,18,315,5,-39,5,1,1,0,1,1,0,-0,-0,-0,0,0,0,115,0,2,2,10,1,2,0,1,0,0,10,0,
alex_disgust.wav,37,3,2,60,99,13,292,5,-39,5,1,0,0,1,1,0,-0,-0,-0,0,0,0,147,1,4,0,10,1,1,0,2,0,0,9,0,
alex_disgust.wav,39,3,2,62,97,17,287,5,-39,5,1,0,0,1,1,0,-0,-0,-0,0,0,1,129,1,3,2,10,1,2,0,3,0,0,7,0,
alex_disgust.wav,38,2,2,60,95,24,371,5,-39,5,1,0,0,1,1,0,-0,-0,-0,0,0,1,166,1,1,1,8,2,2,1,1,0,0,11,0,
alex_disgust.wav,44,4,2,72,110,22,260,6,-38,5,0,0,0,1,1,0,-0,-0,-0,0,0,1,117,1,2,1,11,1,2,1,1,0,0,8,0,
alex_disgust.wav,41,3,2,60,84,25,227,6,-38,6,0,0,0,1,1,0,-0,-0,-0,0,0,0,142,1,1,2,6,1,2,1,0,0,0,11,0,
alex_disgust.wav,53,5,2,74,105,26,256,7,-37,5,0,0,0,1,1,1,0,-0,-0,0,0,1,150,1,3,3,8,2,2,0,2,0,0,7,0,
alex_disgust.wav,41,3,2,70,93,33,200,7,-37,5,-0,0,1,1,1,0,-0,-0,-0,0,0,1,121,1,4,1,10,2,2,1,4,0,0,7,0,
alex_excited.wav,60,12,2,85,109,45,538,7,-36,4,-0,0,-0,1,1,0,-0,-1,-1,0,0,1,215,2,4,2,7,5,2,1,1,1,0,5,1,
alex_excited.wav,65,12,3,95,123,43,574,8,-36,5,-0,0,-0,1,1,0,-0,-0,-0,0,0,1,247,2,4,1,7,3,3,1,3,0,0,4,0,
alex_excited.wav,64,10,2,105,140,45,422,8,-36,4,0,0,-0,1,1,0,-0,-1,-0,0,0,1,212,1,5,2,8,3,2,1,2,1,0,4,0,
alex_excited.wav,65,14,3,96,118,43,608,8,-35,4,-0,0,-0,1,1,0,-0,-1,-1,-0,0,1,233,1,6,2,8,3,1,1,2,1,0,5,1,
alex_excited.wav,70,14,3,100,119,56,424,8,-34,4,-0,0,-0,1,1,0,-0,-1,-0,0,0,1,239,2,2,4,5,3,3,1,7,1,1,5,1,
alex_excited.wav,56,10,3,89,117,40,548,7,-36,4,0,0,-0,1,0,0,-0,-1,-0,0,0,1,228,2,3,1,8,1,2,1,3,1,0,6,0,
